amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
             :manner (z7 / pakai-01
                         :ARG0 z2
                         :ARG1 (z8 / celana
                                   :mod (z9 / rajut)
                                   :ARG1-of (z10 / kuning-01))))
    :op2 (z11 / dan
              :op1 (z12 / mani
                        :poss (z13 / orang
                                   :mod (z14 / lain)))
              :op2 (z15 / sperma
                        :poss z13)
              :location (z16 / ada))
    :ARG1-of (z17 / bukannya-91
                  :ARG2 (z18 / tuan
                             :mod (z19 / Bryant))))"
"# ::id 2007
# ::annotator indoamrbart-mbart-fted
# ::snt Shinseki pensiun pada hari Rabu setelah karir 38 tahun yang mencakup pertempuran di Vietnam dan kepala upaya pemeliharaan perdamaian A.S. di Bosnia.
(z0 / pensiun-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Shin""
                        :op2 ""Shin""
                        :op3 ""Shin""
                        :op4 ""Shin""))
    :time (z3 / entitas-tanggal
              :weekday (z4 / rabu))
    :time (z5 / setelah
              :op1 (z6 / karir
                       :poss z1
                       :duration (z7 / kuantitas-sementara
                                     :unit (z8 / tahun))
                       :ARG0-of (z9 / mencakup-01
                                    :ARG1 (z10 / dan
                                               :op1 (z11 / bertarung-01
                                                         :ARG0 z1
                                                         :location (z12 / negara
                                                                        :wiki ""Vietnam""
                                                                        :name (z13 / nama
                                                                                   :op1 ""Vietnam"")))
                                               :op2 (z14 / usaha-01
                                                         :ARG0 z1
                                                         :ARG1 (z15 / perdamaian)
                                                         :location (z16 / negara
                                                                        :wiki ""BosniaandHerzegovina""
                                                                        :name (z17 / nama
                                                                                   :op1 ""Bosnia""))))))))"
"# ::id 2008
# ::annotator indoamrbart-mbart-fted
# ::snt Tornado, hingga satu kaki hujan dan hujan es sebesar cantaloupes menumbuk Nebraska selatan dan Kansas utara, menewaskan satu orang dan menghancurkan setidaknya empat rumah.
(z0 / dan
    :op1 (z1 / hujan-01
             :quant (z2 / sampai
                        :op1 (z3 / kuantitas-jarak
                                 :unit (z4 / kaki))))
    :op2 (z5 / hujan-01
             :quant (z6 / kuantitas-jarak
                        :unit (z7 / kaki)))
    :ARG0-of (z8 / pukul-01
                 :ARG1 (z9 / dan
                           :op1 (z10 / selatan
                                     :part (z11 / negara
                                                :wiki ""Nebraska""
                                                :name (z12 / nama
                                                           :op1 ""Nebraska"")))
                           :op2 (z13 / utara
                                     :part (z14 / negara
                                                :wiki ""Kansas""
                                                :name (z15 / nama
                                                           :op1 ""Kansas""))))
                 :ARG0-of (z16 / tewas-01
                               :ARG1 (z17 / satu)))
    :op3 (z18 / menghancurkan-01
              :ARG0 z1
              :ARG1 (z19 / rumah
                         :quant (z20 / setidaknya
                                     :op1 4))))"
"# ::id 2009
# ::annotator indoamrbart-mbart-fted
# ::snt Gelombang besar dan selancar berbahaya sudah dirasakan di sepanjang bagian pantai.
(z0 / amati-01
    :ARG0 (z1 / dan
              :op1 (z2 / Gelombang
                       :mod (z3 / besar))
              :op2 (z4 / selancar
                       :mod (z5 / berbahaya)))
    :location (z6 / bagian
                  :part (z7 / pantai)))"
"# ::id 2010
# ::annotator indoamrbart-mbart-fted
# ::snt ""Dia berkata: """"Saya khawatir pada kesempatan ini yang terjadi adalah potongan-potongan alfabet yang mendukung kasus ini dipilih.""
(z0 / ujar-01
    :ARG0 (z1 / dia)
    :ARG1 (z2 / khawatir-01
              :ARG0 (z3 / aku)
              :ARG1 (z4 / pilih-01
                        :ARG1 (z5 / potongan
                                  :mod (z6 / alfabet)
                                  :ARG0-of (z7 / mendukung-01
                                               :ARG1 (z8 / kasus
                                                         :mod (z9 / ini)))))
              :time (z10 / kesempatan
                         :mod (z11 / ini))))"
"# ::id 2011
# ::annotator indoamrbart-mbart-fted
# ::snt Wall Street juga menunggu pembuat aluminium Alcoa Inc. AA.N untuk melaporkan pendapatan setelah penutupan.
(z0 / menunggu-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Wall""
                        :op2 ""Street""))
    :ARG1 (z3 / orang
              :wiki -
              :name (z4 / nama
                        :op1 ""AA.N"")
              :ARG0-of (z5 / memiliki-peran-org-91
                           :ARG1 (z6 / perusahaan
                                     :wiki -
                                     :name (z7 / nama
                                               :op1 ""Alcoa""
                                               :op2 ""Inc.""))
                           :ARG2 (z8 / pembuat
                                     :mod (z9 / aluminium))))
    :ARG2 (z10 / melaporkan-01
               :ARG0 z3
               :ARG1 (z11 / pendapatan)
               :time (z12 / setelah
                          :op1 (z13 / tutup-01
                                    :ARG1 (z14 / perusahaan)))))"
"# ::id 2012
# ::annotator indoamrbart-mbart-fted
# ::snt Duisenberg mengatakan dalam sebuah wawancara dengan saluran televisi Jerman Bloomberg News yang dirilis sebelumnya pada hari Rabu, masih terlalu dini untuk membahas pemotongan suku bunga lebih lanjut untuk zona euro.
(z0 / dan
    :op1 (z1 / katakan-01
             :ARG0 (z2 / orang
                       :wiki -
                       :name (z3 / nama
                                 :op1 ""Duisenberg""))
             :ARG1 (z4 / wawancara-01
                       :ARG0 (z5 / saluran
                                 :wiki ""BloombergNews""
                                 :name (z6 / nama
                                           :op1 ""Bloomberg""
                                           :op2 ""News"")
                                 :ARG1-of (z7 / lepas-01
                                              :time (z8 / sebelumnya
                                                        :op1 (z9 / entitas-tanggal
                                                                 :weekday (z10 / rabu))))))
             :location (z11 / tv
                            :mod (z12 / negara
                                      :wiki ""Germany""
                                      :name (z13 / nama
                                                 :op1 ""Germany""))))
    :op2 (z14 / memiliki-derajat-91
              :ARG1 (z15 / membahas-01
                         :ARG0 (z16 / orang
                                    :ARG0-of (z17 / memiliki-peran-org-91
                                                  :ARG2 (z18 / direktur
                                                             :mod (z19 / euro))))
                         :ARG1 (z20 / potong-01
                                    :ARG1 (z21 / bunga))
                         :mod (z22 / lebih-lanjut))
              :ARG2 (z23 / dini)
              :ARG3 (z24 / juga)))"
"# ::id 2013
# ::annotator indoamrbart-mbart-fted
# ::snt Jumlah total kasus baru di Cina kurang dari 100 untuk hari ketiga berturut -turut.
(z0 / entitas-laju-91
    :ARG1 (z1 / jumlah
              :quant-of (z2 / nomor
                            :quant-of (z3 / kasus
                                          :ARG1-of (z4 / baru-01
                                                       :location (z5 / negara
                                                                     :wiki ""China""
                                                                     :name (z6 / nama
                                                                               :op1 ""China""))))))
    :ARG2 (z7 / entitas-laju-91
              :ARG1 100
              :ARG2 (z8 / hari
                        :ord (z9 / entitas-ordinal)))
    :manner (z10 / turun-01))"
"# ::id 2014
# ::annotator indoamrbart-mbart-fted
# ::snt ""Kepala Det Insp Norman McKinlay mengatakan ada """"bukti tubuh atau tubuh telah berada di daerah ini"""".""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Norman""
                        :op2 ""McKinlay"")
              :ARG0-of (z3 / memiliki-peran-org-91
                           :ARG2 (z4 / ketua
                                     :mod (z5 / detil))))
    :ARG1 (z6 / ada-01
              :ARG1 (z7 / atau
                        :op1 (z8 / tubuh)
                        :op2 (z9 / tubuh)
                        :location (z10 / area
                                       :mod (z11 / ini)))))"
"# ::id 2015
# ::annotator indoamrbart-mbart-fted
# ::snt ""Rosenthal menolak berkomentar tentang situasi Garrett Selasa tetapi mengatakan dalam sebuah pernyataan: """"Kami melakukan negosiasi kontrak besar.""
(z0 / dan
    :op1 (z1 / menolak
             :ARG0 (z3 / orang
                       :wiki -
                       :name (z4 / nama
                                 :op1 ""Rosenthal""))
             :ARG1 (z5 / komentar-01
